scenario_key,scenario_label,source_column,feature_mode,validation_design,repeat,source_seen_fraction,prediction_rows,publication_count,mae,rmse,bias,r2,macro_publication_mae
day_0_only,Day 0 observations only,meta_primary_source_id,prospective_design,random_rowwise,1,0.9466666666666667,150,34,10.90307717952492,15.643213986185302,-0.35122902733485795,0.45633842499248034,10.387497525155853
day_0_only,Day 0 observations only,meta_primary_source_id,prospective_design,random_rowwise,2,0.9333333333333333,150,34,11.469034538652974,16.893794537840165,-0.39331065363588485,0.36593893958990453,10.688886573114496
day_0_only,Day 0 observations only,meta_primary_source_id,prospective_design,random_rowwise,3,0.9333333333333333,150,34,12.013847760204929,17.600834014187527,-0.7404807557660796,0.3117548473443469,11.249597261089793
day_0_only,Day 0 observations only,meta_primary_source_id,prospective_design,random_rowwise,4,0.9466666666666667,150,34,11.40196493565867,16.424754546311586,-0.583246561761145,0.4006583723424382,10.737231678600848
day_0_only,Day 0 observations only,meta_primary_source_id,prospective_design,random_rowwise,5,0.9333333333333333,150,34,11.760163026424774,17.154013521604245,-0.9156576518849014,0.3462553273421002,10.880647226300402
day_0_to_1,Days 0 to 1 observations,meta_primary_source_id,prospective_design,publication_grouped,1,0.0,336,69,14.301891634312213,18.892636776613983,2.7703170251172904,-0.024098030849957652,12.997384979968132
day_0_to_1,Days 0 to 1 observations,meta_primary_source_id,prospective_design,publication_grouped,2,0.0,336,69,14.026493563790403,18.53219578614064,1.907707041247868,0.014605485270188456,12.945101094090948
day_0_to_1,Days 0 to 1 observations,meta_primary_source_id,prospective_design,publication_grouped,3,0.0,336,69,14.630313355780144,19.31016073444832,2.9361103058714404,-0.06986297621113602,13.099338893015421
day_0_to_1,Days 0 to 1 observations,meta_primary_source_id,prospective_design,publication_grouped,4,0.0,336,69,13.83395339135113,18.500297246444685,2.497150543561813,0.01799478621300743,12.827171946582457
day_0_to_1,Days 0 to 1 observations,meta_primary_source_id,prospective_design,publication_grouped,5,0.0,336,69,14.251849193480904,18.908899253070995,2.4499692811064584,-0.02586184372792899,12.882099746502501
day_0_to_1,Days 0 to 1 observations,meta_primary_source_id,prospective_design,random_rowwise,1,0.9464285714285714,336,69,9.535875861697098,14.046887337605842,-0.7174810728502239,0.4338694655265316,10.470985298025932
day_0_to_1,Days 0 to 1 observations,meta_primary_source_id,prospective_design,random_rowwise,2,0.9494047619047619,336,69,9.448532892610185,13.851546828345631,-0.9477390079137473,0.4495055686205087,10.136493211209794
day_0_to_1,Days 0 to 1 observations,meta_primary_source_id,prospective_design,random_rowwise,3,0.9494047619047619,336,69,9.451040923415352,14.30475147951621,-0.47269544436090716,0.4128933289173582,9.977375651814699
day_0_to_1,Days 0 to 1 observations,meta_primary_source_id,prospective_design,random_rowwise,4,0.9315476190476191,336,69,9.634663366111054,13.617054711943332,-0.6592486749952486,0.46798638605705023,10.32642263405353
day_0_to_1,Days 0 to 1 observations,meta_primary_source_id,prospective_design,random_rowwise,5,0.9404761904761905,336,69,9.456669651686571,13.941461034551496,-0.5017809566700787,0.44233555062317986,9.872977328017326
full_retrospective_features,Full-retrospective feature timing,meta_primary_source_id,full_retrospective,publication_grouped,1,0.0,608,75,12.46906027991937,16.67223546376185,1.4841411368489548,0.03709596518935243,11.767903830055827
full_retrospective_features,Full-retrospective feature timing,meta_primary_source_id,full_retrospective,publication_grouped,2,0.0,608,75,12.241265886465776,16.121390036121817,0.4597790383813373,0.09967293331901539,11.380628801264407
full_retrospective_features,Full-retrospective feature timing,meta_primary_source_id,full_retrospective,publication_grouped,3,0.0,608,75,12.359661683225879,16.34929591553858,0.8156051289821256,0.07403740168254047,11.210079078339447
full_retrospective_features,Full-retrospective feature timing,meta_primary_source_id,full_retrospective,publication_grouped,4,0.0,608,75,12.793907638860814,17.05513782490733,1.6060572290012416,-0.0076409361478171345,11.477643643284317
full_retrospective_features,Full-retrospective feature timing,meta_primary_source_id,full_retrospective,publication_grouped,5,0.0,608,75,13.484106633670365,17.51317900291764,0.2071848073063637,-0.06249112064041995,12.173713846502975
full_retrospective_features,Full-retrospective feature timing,meta_primary_source_id,full_retrospective,random_rowwise,1,0.9950657894736842,608,75,8.161180339767567,11.936914179832321,-0.37961691237811857,0.5063950809134468,8.33176421223173
full_retrospective_features,Full-retrospective feature timing,meta_primary_source_id,full_retrospective,random_rowwise,2,0.9917763157894737,608,75,7.919600338822612,11.645361630505173,-0.37445554077468,0.5302126752293692,8.104567521545937
full_retrospective_features,Full-retrospective feature timing,meta_primary_source_id,full_retrospective,random_rowwise,3,0.9851973684210527,608,75,7.856644382062296,11.733788541530162,-0.2577321132687336,0.5230511007831139,8.081288213475645
full_retrospective_features,Full-retrospective feature timing,meta_primary_source_id,full_retrospective,random_rowwise,4,0.9868421052631579,608,75,8.145595628969492,12.144824759585864,-0.4493877025615305,0.4890506613939082,8.25178444412684
full_retrospective_features,Full-retrospective feature timing,meta_primary_source_id,full_retrospective,random_rowwise,5,0.9917763157894737,608,75,7.940369983842913,11.734033853218238,-0.3387904305606513,0.5230311579722788,8.297231213062645
minimum_source_size_3,Exclude DOI sources with fewer than 3 rows,meta_primary_source_id,prospective_design,publication_grouped,1,0.0,593,66,13.24256675154714,17.254176927589445,1.4615035350281067,-0.0225404750233833,12.383701575815309
minimum_source_size_3,Exclude DOI sources with fewer than 3 rows,meta_primary_source_id,prospective_design,publication_grouped,2,0.0,593,66,12.871011189127715,16.9938207510246,1.8197190148318172,0.008085863880063826,11.83329471927161
minimum_source_size_3,Exclude DOI sources with fewer than 3 rows,meta_primary_source_id,prospective_design,publication_grouped,3,0.0,593,66,13.28112253100141,17.305024966291274,1.452211521887668,-0.02857620669070915,12.413645905363941
minimum_source_size_3,Exclude DOI sources with fewer than 3 rows,meta_primary_source_id,prospective_design,publication_grouped,4,0.0,593,66,13.395366761452792,17.77901014798682,1.6337203589889282,-0.08569332852159084,11.878143437692273
minimum_source_size_3,Exclude DOI sources with fewer than 3 rows,meta_primary_source_id,prospective_design,publication_grouped,5,0.0,593,66,12.646191639438861,16.599760877063563,0.9480138794264781,0.0535543544269208,12.0872716066547
minimum_source_size_3,Exclude DOI sources with fewer than 3 rows,meta_primary_source_id,prospective_design,random_rowwise,1,1.0,593,66,7.967429895939502,11.75747102998198,-0.10105940990970044,0.5251900097573006,8.282972761952848
